category_id,category_level_1,category_level_2,category_level_3,category_type,blacklist_reason,ss_category_id,andele_category_id
CM00064,Elektrotehnika,"Audio, Video, DVD, SAT",Mūzikas instrumenti,normal,,SS00064,AM00008
CM00065,Elektrotehnika,"Audio, Video, DVD, SAT",Dažādi,normal,,SS00065,AM00073
CM00066,Elektrotehnika,"Audio, Video, DVD, SAT","Video, DVD",normal,,SS00066,AM00001
CM00067,Elektrotehnika,"Audio, Video, DVD, SAT",Mājas kinozāles,normal,,SS00067,AM00006
CM00068,Elektrotehnika,"Audio, Video, DVD, SAT",Videomagnetofoni,normal,,SS00068,AM00006
CM00069,Elektrotehnika,"Audio, Video, DVD, SAT",Videokameras,normal,,SS00069,AM00037
CM00070,Elektrotehnika,"Audio, Video, DVD, SAT",Blu-ray atskaņotāji,normal,,SS00070,AM00001
CM00071,Elektrotehnika,"Audio, Video, DVD, SAT",DVD atskaņotāji,normal,,SS00071,AM00001
CM00072,Elektrotehnika,"Audio, Video, DVD, SAT","DVD diski, mpeg, kasetes",normal,,SS00072,AM00001
CM00073,Elektrotehnika,"Audio, Video, DVD, SAT",Televizori,normal,,SS00073,AM00071
CM00074,Elektrotehnika,"Audio, Video, DVD, SAT",TV konsoles,normal,,SS00074,AM00001
CM00075,Elektrotehnika,"Audio, Video, DVD, SAT",Akumulatori videokamerām,normal,,SS00075,AM00001
CM00076,Elektrotehnika,"Audio, Video, DVD, SAT","Videoaukles, radioaukles",normal,,SS00076,AM00001
CM00077,Elektrotehnika,"Audio, Video, DVD, SAT",Filmu noma,blacklisted,rentals,SS00077,
CM00078,Elektrotehnika,"Audio, Video, DVD, SAT",Videonovērošanas sistēmas,normal,,SS00078,AM00001
CM00079,Elektrotehnika,"Audio, Video, DVD, SAT",Fotogrāfu pakalpojumi,blacklisted,services,SS00079,
CM00080,Elektrotehnika,"Audio, Video, DVD, SAT",Video operatora pakalpojumi,blacklisted,services,SS00080,
CM00081,Elektrotehnika,"Audio, Video, DVD, SAT",Dažādi,normal,,SS00081,AM00001
CM00082,Elektrotehnika,"Audio, Video, DVD, SAT",Satelīta televīzija,normal,,SS00082,AM00001
